Name,UUID,ThatId,S,r,R,g,G,m,M,P,d,D,n,N
Shudh baradi,ea5e88cb-3c3c-49b6-a2d3-3801ce2cdabc,0,0,0,0,0,0,0,0,0,0,0,0,0
Shudh maaru,007a5094-e226-41d0-b626-0f938f7e67e0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shudha basant,f95072ad-729d-49b7-8ec0-c5be64337395,0,0,0,0,0,0,0,0,0,0,0,0,0
Shudha kedar,1ebcd930-a543-47dd-a423-3a95531a1df3,0,0,0,0,0,0,0,0,0,0,0,0,0
Shyam kalyan,cadee83a-6aaa-404c-8a68-1250dc62d320,0,0,0,0,0,0,0,0,0,0,0,0,0
Sindhu bhairavi,7fad8e4e-8ba2-402d-9d01-6586acc5b458,0,0,0,0,0,0,0,0,0,0,0,0,0
Sindhura,7e1db214-c0f2-4e68-b748-35ea464c1b39,0,0,0,0,0,0,0,0,0,0,0,0,0
Sohini,3b18e6fe-5ea0-4326-8d3d-c1fbcbe1cc9e,0,0,0,0,0,0,0,0,0,0,0,0,0
Sohini bahar,7f8cd8d5-6dba-40f9-8f26-0c9fff6da3e2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sohoni,6600d85b-de2c-4fcc-80ad-0b5aa88f6305,0,0,0,0,0,0,0,0,0,0,0,0,0
Sohoni bhatiyar,76497571-61e8-4f5a-9e26-b52715be9fd1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorath,72420351-7aa7-4118-9fc1-ed60de170172,0,0,0,0,0,0,0,0,0,0,0,0,0
Subhalakshmi,f132c2f3-90f9-4dd3-bcb2-b6f95fd234b8,0,0,0,0,0,0,0,0,0,0,0,0,0
Sughrai,3800077c-9fd5-46e8-ab7b-d86955a864f1,0,0,0,0,0,0,0,0,0,0,0,0,0
Suha,faa182a5-687f-4c12-8ef7-616c537e10b0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suha kanada,067203bb-77aa-4966-83da-e47f98384291,0,0,0,0,0,0,0,0,0,0,0,0,0
Suha kannada,9b52c54c-2269-4125-8cce-563aca0fe7be,0,0,0,0,0,0,0,0,0,0,0,0,0
Suha sugharai,17a7b583-71b9-4d75-a881-7dd5d2627b37,0,0,0,0,0,0,0,0,0,0,0,0,0
Surmalhar,6bb4b24a-deb0-4a47-b99a-094ca9605d45,0,0,0,0,0,0,0,0,0,0,0,0,0
Swarashtram,d7ebeced-2c40-4188-9556-907392a9df9b,0,0,0,0,0,0,0,0,0,0,0,0,0
Tankeshri,214aa9c2-b69b-4431-aaa4-1ad935e54334,0,0,0,0,0,0,0,0,0,0,0,0,0
Tilak bihari,45528063-4723-4522-8a8c-e5b1da747112,0,0,0,0,0,0,0,0,0,0,0,0,0
Tilak kamod,d2af8f3e-85ee-40c3-9db3-6cf417d50515,0,0,0,0,0,0,0,0,0,0,0,0,0
Tilak nat,8ea56aaa-576b-4c33-ab0a-a4699877d1a6,0,0,0,0,0,0,0,0,0,0,0,0,0
Tilang,a4e2a9c3-2a9d-420e-8619-d6e6419fa882,0,0,0,0,0,0,0,0,0,0,0,0,0
Todi,6f13484e-6fdd-402d-baf3-3835835454d0,10,1,1,0,1,0,0,1,0.5,1,0,0,1
Triveni gauri,27b5ec64-1c40-41f6-8324-023bc54fd90d,0,0,0,0,0,0,0,0,0,0,0,0,0
Vachaspati,0481235e-b295-451c-94d0-099633c0e471,0,0,0,0,0,0,0,0,0,0,0,0,0
Vrindavani sarang,82a57826-17dc-482b-aef2-acc4278e8b9d,0,0,0,0,0,0,0,0,0,0,0,0,0
Yaman kalyan,48b37bed-e847-4882-8a01-5c721e07f07d,2,1,0,0.5,0,1,0,1,1,0,0.5,0,1
Yamani bilawal,32d510d4-4c36-4d56-a3d2-21b1ce290560,0,0,0,0,0,0,0,0,0,0,0,0,0
Zilaf,df80e38a-e8db-407d-b1b0-f4d36d193350,0,0,0,0,0,0,0,0,0,0,0,0,0
